epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3373,2.4443,9.9413,1.79868,0.02157,0.36667,0.23814,0.10875,1.72646,10.3542,1.20571,0.00031673,0.00031673,0.00031673
2,72.8654,2.35555,7.66756,1.60312,0.02013,0.65,0.26245,0.10944,1.7458,9.77923,1.13953,0.000646912,0.000646912,0.000646912
3,109.3,2.34585,7.53578,1.62603,0.02524,0.78333,0.19856,0.07799,1.99031,8.66533,1.2722,0.000973793,0.000973793,0.000973793
4,143.871,2.29538,7.31206,1.57562,0.70324,0.17135,0.20076,0.07297,2.19604,7.7928,1.44865,0.00129737,0.00129737,0.00129737
5,179.44,2.31884,7.52608,1.63232,0.64983,0.2,0.18647,0.05021,2.00563,7.01303,1.38536,0.00161765,0.00161765,0.00161765
6,217.958,2.21069,7.43105,1.58664,0.64156,0.26334,0.16387,0.073,1.71766,6.31835,1.26464,0.00162574,0.00162574,0.00162574
7,255.321,2.17348,7.08077,1.62055,0.76121,0.2,0.21704,0.11151,1.89381,6.79012,1.35632,0.00161749,0.00161749,0.00161749
8,295.5,2.21895,7.06423,1.61636,0.84521,0.26037,0.48668,0.22267,2.09936,5.74176,1.45623,0.00160924,0.00160924,0.00160924
9,335.763,2.13271,6.7335,1.55643,0.68488,0.39119,0.49283,0.25651,2.01673,5.40548,1.49286,0.00160099,0.00160099,0.00160099
10,372.826,2.12258,6.71956,1.57949,0.56275,0.56993,0.59763,0.33076,1.89592,5.12828,1.39133,0.00159274,0.00159274,0.00159274
11,408.959,2.07645,6.77737,1.56961,0.68217,0.73745,0.67383,0.36745,1.87299,4.98436,1.38436,0.00158448,0.00158448,0.00158448
12,445.467,2.13983,6.44934,1.56918,0.72167,0.68416,0.6956,0.31421,2.02974,4.80002,1.41396,0.00157623,0.00157623,0.00157623
13,482.309,2.10688,6.4025,1.57002,0.70611,0.52063,0.66352,0.35046,1.82732,5.10227,1.38302,0.00156798,0.00156798,0.00156798
14,517.63,2.056,6.28077,1.52118,0.84792,0.6935,0.76038,0.37148,1.85165,4.53261,1.34209,0.00155973,0.00155973,0.00155973
15,551.363,1.99076,6.23652,1.47855,0.71527,0.4755,0.66973,0.33692,1.88752,4.77252,1.3778,0.00155148,0.00155148,0.00155148
16,585.184,1.95373,5.92803,1.4785,0.58972,0.67369,0.69646,0.36372,1.75378,4.4657,1.36901,0.00154323,0.00154323,0.00154323
17,618.953,1.9684,6.10676,1.50538,0.84786,0.73333,0.78066,0.3686,1.85501,4.23153,1.3303,0.00153497,0.00153497,0.00153497
18,652.719,1.95976,5.93126,1.50903,0.86708,0.71721,0.76197,0.47624,1.47193,4.24803,1.25526,0.00152672,0.00152672,0.00152672
19,686.232,1.95778,5.9126,1.49429,0.61664,0.72841,0.65292,0.3243,1.79522,4.40013,1.34849,0.00151847,0.00151847,0.00151847
20,719.986,1.87473,5.73773,1.4476,0.57464,0.6,0.61756,0.2984,1.71864,4.91929,1.33098,0.00151022,0.00151022,0.00151022
21,753.944,1.89173,5.84908,1.47421,0.72705,0.59,0.64777,0.28655,1.92894,5.1014,1.43326,0.00150197,0.00150197,0.00150197
22,788,1.86862,5.68797,1.44628,0.73135,0.65,0.66885,0.28536,1.78716,4.75852,1.31885,0.00149372,0.00149372,0.00149372
23,821.659,1.87562,5.86157,1.45401,0.61957,0.48077,0.63837,0.31391,1.54364,4.31807,1.28347,0.00148546,0.00148546,0.00148546
24,855.405,1.89364,5.64043,1.46301,0.82725,0.74403,0.88972,0.34499,1.68588,4.21677,1.32773,0.00147721,0.00147721,0.00147721
25,889.043,1.8469,5.49959,1.44316,0.97336,0.61109,0.87325,0.32625,1.61264,4.0512,1.30426,0.00146896,0.00146896,0.00146896
26,922.597,1.85317,5.47109,1.45366,0.50423,0.58918,0.74092,0.34867,1.554,4.27711,1.23156,0.00146071,0.00146071,0.00146071
27,956.184,1.80123,5.30309,1.41227,0.58329,0.7833,0.70067,0.37846,1.54628,4.17665,1.24811,0.00145246,0.00145246,0.00145246
28,990.364,1.80322,5.27363,1.42009,0.67842,0.6,0.72493,0.3687,1.58999,4.11867,1.24131,0.00144421,0.00144421,0.00144421
29,1024.61,1.8177,5.54377,1.42373,0.7471,0.53406,0.79934,0.37051,1.72633,4.10552,1.29822,0.00143595,0.00143595,0.00143595
30,1058.36,1.74939,5.33975,1.40719,0.6263,0.6761,0.81086,0.40056,1.46437,4.00581,1.19649,0.0014277,0.0014277,0.0014277
31,1092,1.75329,5.15772,1.40069,0.64033,0.53333,0.77581,0.42432,1.54526,3.56265,1.22083,0.00141945,0.00141945,0.00141945
32,1125.68,1.78314,5.27927,1.40917,0.54428,0.55,0.71305,0.38478,1.50173,3.96085,1.22873,0.0014112,0.0014112,0.0014112
33,1159.49,1.75245,5.20921,1.40466,0.69612,0.68801,0.78396,0.41618,1.44905,3.78607,1.22486,0.00140295,0.00140295,0.00140295
34,1192.98,1.75962,5.25336,1.42921,0.74944,0.55,0.70888,0.37585,1.51571,4.14781,1.24362,0.0013947,0.0013947,0.0013947
35,1226.51,1.73323,5.10475,1.35082,0.45486,0.9,0.61541,0.341,1.46996,3.91872,1.20413,0.00138644,0.00138644,0.00138644
36,1260.12,1.73026,5.08198,1.3834,0.69614,0.91047,0.7977,0.3791,1.67679,3.9293,1.26823,0.00137819,0.00137819,0.00137819
37,1293.92,1.68264,4.95148,1.36646,0.37428,0.8,0.75034,0.38618,1.62239,4.29389,1.26923,0.00136994,0.00136994,0.00136994
38,1327.69,1.73613,5.05896,1.39399,0.58915,0.72552,0.62099,0.2663,1.98889,4.20707,1.39435,0.00136169,0.00136169,0.00136169
39,1361.54,1.78533,5.14939,1.4132,0.93087,0.61383,0.77986,0.37951,1.67761,4.20519,1.23127,0.00135344,0.00135344,0.00135344
40,1395.06,1.77615,5.08966,1.3806,0.79128,0.66329,0.71835,0.27154,1.65738,4.51168,1.25186,0.00134519,0.00134519,0.00134519
41,1428.94,1.68951,4.78111,1.37107,0.59929,0.69561,0.73369,0.35996,1.5988,3.85603,1.25423,0.00133693,0.00133693,0.00133693
42,1462.62,1.69243,5.01599,1.36779,0.65906,0.45,0.70085,0.38099,1.4887,3.76154,1.20585,0.00132868,0.00132868,0.00132868
43,1496.35,1.70335,4.86318,1.36956,0.54751,0.62079,0.69793,0.37167,1.65931,4.13091,1.25049,0.00132043,0.00132043,0.00132043
44,1530.08,1.70481,4.97263,1.35215,0.44941,0.7,0.70998,0.43874,1.4445,4.08032,1.191,0.00131218,0.00131218,0.00131218
45,1563.86,1.67888,4.79363,1.34305,0.52072,0.85699,0.75019,0.32502,1.99692,3.82479,1.39425,0.00130393,0.00130393,0.00130393
46,1597.78,1.68324,5.02174,1.35003,0.45113,0.61667,0.63365,0.312,1.71783,4.74109,1.31128,0.00129568,0.00129568,0.00129568
47,1631.79,1.63041,4.9014,1.36148,0.74357,0.77065,0.83668,0.41528,1.55888,3.81288,1.22538,0.00128742,0.00128742,0.00128742
48,1666.15,1.6014,4.81833,1.35309,1,0.59577,0.81161,0.39021,1.63501,3.92154,1.30332,0.00127917,0.00127917,0.00127917
49,1699.7,1.68463,4.87571,1.33602,0.80777,0.58677,0.75634,0.36458,1.43793,4.33396,1.20608,0.00127092,0.00127092,0.00127092
50,1733.29,1.66345,4.78743,1.34215,0.81097,0.41667,0.63417,0.33827,1.48171,4.08955,1.19645,0.00126267,0.00126267,0.00126267
51,1766.77,1.6198,4.74936,1.32236,0.82516,0.60039,0.73934,0.30477,1.6084,4.24165,1.22093,0.00125442,0.00125442,0.00125442
52,1800.56,1.64319,4.71412,1.32462,0.59252,0.71934,0.65078,0.33316,1.43853,4.29303,1.20088,0.00124617,0.00124617,0.00124617
53,1834.48,1.60822,4.79859,1.31561,0.88664,0.4095,0.6301,0.31851,1.60536,4.27356,1.25067,0.00123791,0.00123791,0.00123791
54,1868.48,1.63291,4.77041,1.32467,0.66329,0.75115,0.81269,0.42006,1.54358,3.96257,1.23852,0.00122966,0.00122966,0.00122966
55,1902.31,1.63357,4.61816,1.33676,0.59823,0.85,0.76612,0.47481,1.31735,3.63653,1.15745,0.00122141,0.00122141,0.00122141
56,1936.03,1.57162,4.58727,1.31232,0.60444,0.76514,0.76646,0.43637,1.36908,3.95242,1.15129,0.00121316,0.00121316,0.00121316
57,1969.91,1.57872,4.47343,1.29384,0.47951,0.84701,0.75269,0.41168,1.36247,3.8152,1.13209,0.00120491,0.00120491,0.00120491
58,2003.73,1.59925,4.48309,1.30674,0.66121,0.81325,0.82375,0.38979,1.67,3.6837,1.24042,0.00119666,0.00119666,0.00119666
59,2037.41,1.56348,4.72224,1.29327,0.75085,0.67731,0.80982,0.35494,1.58878,4.18648,1.22528,0.0011884,0.0011884,0.0011884
60,2071.11,1.62242,4.54059,1.31008,0.67133,0.6663,0.82147,0.41478,1.45045,3.91181,1.15471,0.00118015,0.00118015,0.00118015
61,2105.18,1.57757,4.42145,1.30067,0.8499,0.60304,0.81595,0.34954,1.77268,4.12914,1.33273,0.0011719,0.0011719,0.0011719
62,2139.56,1.55312,4.5589,1.28815,0.90118,0.55,0.84267,0.36901,1.513,4.04046,1.21685,0.00116365,0.00116365,0.00116365
63,2173.37,1.53302,4.47977,1.30341,0.67977,0.6,0.74917,0.37342,1.58878,3.8506,1.2122,0.0011554,0.0011554,0.0011554
64,2207.14,1.55788,4.40152,1.31409,0.70519,0.59147,0.6382,0.31814,1.42051,3.86778,1.16494,0.00114715,0.00114715,0.00114715
65,2240.96,1.56652,4.38548,1.28613,0.80978,0.58468,0.72478,0.28066,1.64232,4.20899,1.27593,0.00113889,0.00113889,0.00113889
66,2274.65,1.52459,4.40538,1.2837,0.68233,0.83333,0.87865,0.43849,1.50347,3.81913,1.20101,0.00113064,0.00113064,0.00113064
67,2308.26,1.57587,4.3356,1.28707,0.74283,0.80244,0.86274,0.4354,1.39535,3.88841,1.15698,0.00112239,0.00112239,0.00112239
68,2342.07,1.60411,4.43076,1.29867,0.64017,0.89215,0.80856,0.40498,1.77046,3.80485,1.29842,0.00111414,0.00111414,0.00111414
