epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.393,1.90062,4.50722,0.74923,1.78532,2.10209,0.66603,0.80531,0.75619,0.20068,0.466,0.31858,0.26674,0.04091,2.45859,4.71084,0.68136,1.50992,3.06066,0.000648649,0.000648649,0.000648649
2,55.1933,1.57386,3.0989,0.72918,0.9616,1.81378,0.89915,0.94684,0.94858,0.43363,0.58122,0.53097,0.46095,0.14033,1.78856,3.46886,0.71012,0.8782,2.29601,0.0013088,0.0013088,0.0013088
3,83.4564,1.59971,2.75061,0.71076,0.97638,1.8045,0.6845,0.76106,0.74607,0.2769,0.35765,0.44248,0.24047,0.04347,2.28555,3.80398,0.72436,1.97593,3.04454,0.00196236,0.00196236,0.00196236
4,113.102,1.54262,2.59449,0.70171,0.95105,1.72828,0.56272,0.82301,0.63614,0.25835,0.10627,0.25664,0.03348,0.00841,2.08196,4.22742,0.79274,3.00836,2.89317,0.0019703,0.0019703,0.0019703
5,135.816,1.47163,2.15689,0.68395,0.90924,1.6969,0.89985,0.87462,0.95387,0.51936,0.87885,0.8346,0.9004,0.44844,1.53144,2.34888,0.77729,0.94518,1.74743,0.0019604,0.0019604,0.0019604
6,159.096,1.44925,1.75707,0.66667,0.86038,1.66221,0.96361,0.93747,0.95898,0.48617,0.96361,0.93747,0.95597,0.66421,1.70714,1.48492,0.64399,1.22497,1.9842,0.0019505,0.0019505,0.0019505
7,179.838,1.4194,1.83595,0.67031,0.89388,1.63242,0.99869,0.9469,0.97285,0.46233,0.98146,0.93676,0.94971,0.58989,1.75055,1.45792,0.58087,1.1521,1.74302,0.0019406,0.0019406,0.0019406
8,212.107,1.34149,1.73242,0.66557,0.85186,1.5714,0.99088,0.9616,0.98427,0.49018,0.99088,0.9616,0.97431,0.6159,1.65363,1.28382,0.54974,1.2049,1.77371,0.0019307,0.0019307,0.0019307
9,235.601,1.38039,1.61885,0.65284,0.84066,1.58647,0.95742,0.9646,0.96334,0.55197,0.93459,0.93805,0.91938,0.71775,1.37192,1.32096,0.54881,0.82273,1.52918,0.0019208,0.0019208,0.0019208
10,255.864,1.37452,1.44252,0.64195,0.81833,1.58578,0.95969,0.95575,0.97541,0.52326,0.96858,0.9646,0.97457,0.73615,1.67105,1.1782,0.50137,0.7805,1.87934,0.0019109,0.0019109,0.0019109
11,276.377,1.30181,1.39336,0.64591,0.79891,1.53339,0.98151,0.9646,0.98373,0.50577,0.97251,0.95575,0.96017,0.78974,1.57301,0.94936,0.48589,0.67611,1.64158,0.001901,0.001901,0.001901
12,296.087,1.3118,1.38341,0.62123,0.78656,1.54158,0.9909,0.96331,0.99379,0.58196,0.9818,0.95478,0.96352,0.77237,1.47181,1.03788,0.49151,0.69502,1.57167,0.0018911,0.0018911,0.0018911
13,316.899,1.27638,1.32756,0.62509,0.80925,1.5627,0.96196,0.97345,0.9776,0.61855,0.96196,0.97345,0.96225,0.76735,1.35614,1.01565,0.50143,0.62226,1.57607,0.0018812,0.0018812,0.0018812
14,337.88,1.24867,1.2385,0.6093,0.78222,1.54261,0.97374,0.90265,0.97328,0.57343,0.94574,0.92547,0.94748,0.65694,1.44708,1.52117,0.53937,0.76644,1.66085,0.0018713,0.0018713,0.0018713
15,357.844,1.27067,1.26921,0.60958,0.74011,1.50996,0.99103,0.97773,0.98857,0.62109,0.9909,0.96358,0.96345,0.8302,1.31942,0.79643,0.55207,0.62751,1.60627,0.0018614,0.0018614,0.0018614
16,378.439,1.26065,1.06618,0.60978,0.73572,1.47633,0.87966,0.71157,0.81786,0.53548,0.93415,0.76106,0.89218,0.58441,1.35402,1.61942,0.50816,1.09037,1.52719,0.0018515,0.0018515,0.0018515
17,398.919,1.27342,1.21102,0.58372,0.75426,1.5179,0.94195,0.71799,0.86626,0.43676,0.93998,0.69027,0.84248,0.64508,1.67224,1.46469,0.47793,1.1732,1.75845,0.0018416,0.0018416,0.0018416
18,419.057,1.26706,1.10795,0.57386,0.73144,1.50603,0.95987,0.84672,0.93323,0.62153,0.94986,0.83821,0.90479,0.71697,1.2408,1.25294,0.52139,1.05206,1.43285,0.0018317,0.0018317,0.0018317
19,439.56,1.2083,1.10914,0.57911,0.71209,1.46369,1,0.98021,0.99232,0.72077,0.99622,0.97345,0.975,0.82356,1.07873,0.85879,0.47741,0.58127,1.36777,0.0018218,0.0018218,0.0018218
20,459.737,1.19624,1.04801,0.56343,0.70201,1.47251,0.9903,0.9823,0.98901,0.73029,0.98211,0.97148,0.97482,0.8205,0.89174,0.73707,0.49675,0.57127,1.26538,0.0018119,0.0018119,0.0018119
21,480.264,1.19211,0.91369,0.55976,0.68117,1.4453,0.98208,0.97345,0.9898,0.67143,0.99033,0.9823,0.985,0.87094,1.2237,0.72141,0.47999,0.59439,1.35758,0.001802,0.001802,0.001802
22,500.352,1.19487,0.96748,0.55078,0.69817,1.4825,0.97519,0.85841,0.97369,0.66049,0.96513,0.84956,0.93825,0.65171,1.14864,1.63887,0.51766,0.64194,1.40004,0.0017921,0.0017921,0.0017921
23,520.852,1.14157,0.90691,0.54453,0.6964,1.42932,0.87216,0.57522,0.83036,0.56576,0.90393,0.59292,0.78191,0.45763,1.15042,2.60879,0.52548,1.49774,1.47635,0.0017822,0.0017822,0.0017822
24,541.437,1.18311,0.97715,0.51249,0.68716,1.44783,0.97902,0.86726,0.97124,0.62372,0.97902,0.86726,0.95346,0.76976,1.17714,0.96455,0.48292,0.73736,1.37482,0.0017723,0.0017723,0.0017723
